codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0940120V;2.468977724000069;48.80992499800004;Marcelin-Berthelot;Saint Maur des Fossés;2012/2022;2013;Rénovation thermique;4.0;4.0;SAERP;en cours;;;;;;Sélection entreprise;;48.809924998,2.468977724
0942130E;2.515424525000071;48.770416873000045;Montaleau;Sucy en Brie;2001/2006;1999;Restructuration du service de restauration;1.52;2.24;SADEV 94;Catherine Dormoy / Betiba;2000-04-10;Quillery;Ent générale;;2004-11-15;Opération livrée;2005;48.770416873,2.515424525
0950640E;2.233313200000055;48.952180267000074;Julie-Victoire Daubié;Argenteuil;2001/2006;2002;Construction d'un lycée provisoire;7.16;7.16;SEMAEST;SCP Laumonnier - Menninger / BET SLI;2002-12-11;Cougnaud / Societep;Lots séparés;2;2003-10-27;Opération livrée;2004;48.952180267,2.2333132
0951974E;2.287566424000033;48.995649754000056;Louis-Armand;Eaubonne;2001/2006;1998;Extension (600 places);10.67;18.89;Icade Promotion;Ameller-Duvois / C2L / Terrel-Rooke / ETB..;2001-01-16;Hervé;Ent générale;;2004-11-15;Opération livrée;2007;48.995649754,2.287566424
0951723G;2.146187509000072;48.99939601500006;Montesquieu;Herblay;2012/2022;2013;Equipt sportifs : aménagement d'un terrain de sport - SUSPENDU;0.3;0.05;maitrise d'ouvrage directe;;;;;;;Suspendue;;48.999396015,2.146187509
0750788Z;2.373630311000056;48.85524672100007;Marcel-Deprez;Paris 11ème;2001/2006;1998;Rénovation - extension;19.72;21.24;Icade Promotion;Bizouard - Pin / BET Serete;1999-08-12;Rabot Dutilleul construction;Ent générale;;2001-06-25;Opération livrée;2004;48.855246721,2.373630311
0750675B;2.384507851000024;48.86352858400005;Voltaire;Paris 11ème;2001/2006;2009;Restructuration du service de restauration;5.4;5.4;SEMAEST;Mauger/DAL/AC2R/Val consultants/ITEC Fluides;2013-09-07;;;;;En Chantier;;48.863528584,2.384507851
0750680G;2.394312742000068;48.84792995200007;Arago;Paris 12ème;2001/2006;1998;Rénovation et mise aux normes de la demi-pension;1.68;1.83;SEMAEST;Valero-Gadan/LGX-Ingenierie MD;1999-09-22;DBS;Ent générale;;2000-06-19;Opération livrée;2001;48.847929952,2.394312742
0750679F;2.409176177000063;48.83983362300006;Paul-Valéry;Paris 12ème;2001/2006;2011;Reconstruction du lycée (+ 500 places)et construction d'un internat de 150 places;56.5;50.16;SODEREC;Alain Gignoux Arcjitectes/MIZRAHI/Eléments ingenierie;;;;;;Etude de maîtrise d'œuvre;;48.839833623,2.409176177
0753268V;2.353294720000065;48.834260785000026;Jean-Lurçat;Paris 13ème;2001/2006;2002;Rénovation d'ensemble;28.06;32.093;SEMAEST;Marie SCHWEITZER / Iratome;2005-01-25;Demathieu / Bard / Colas;Ent générale;;2007-09-03;Opération livrée;2010;48.834260785,2.35329472
0750787Y;2.348886918000062;48.83038306600008;Tolbiac (fusion Arts-Graph);Paris 13ème;2001/2006;2001;Aménagement de lieux de vie et d'un CDI;1.9;1.9;SEMAEST;ACAUR/AXE IB;2003-11-25;Colas;Ent générale;;2005-02-18;Opération livrée;2006;48.830383066,2.348886918
0750802P;2.372551129000044;48.89234944100008;Hector-Guimard;Paris 19ème;2001/2006;2001;Grosses réparations;0.46;0.46;SEMAVIP;;;;;;;Opération livrée;2005;48.892349441,2.372551129
0771357G;3.124168119000046;48.78954677200005;Bretonnière (la);Chailly en Brie;2001/2006;2003;Construction d'une halle de sports et de 6 logements de fonction;4.7;6.82;Icade Promotion;SCPA Gonot Marcenac / Riotte-Herault-Marchal;2006-03-07;Mate / Saussine / MS construction/Sport France;Lots séparés;8;2010-11-01;Opération livrée;2012;48.789546772,3.124168119
0770922J;2.612726781000049;48.88331908100008;Gaston-Bachelard/ Louis-Lumière;Chelles;2001/2006;2005;Restructuration partielle et extension ponctuelle;9.3;12.43;SAERP;Isabelle Biro / EPDC;2006-10-10;Negro / Egeim / Colas / Pitel / Rougnon;Lots séparés;6;2008-05-09;Opération livrée;2010;48.883319081,2.612726781
0771995A;2.677001904000065;48.93797217700006;Champ-de-Claye (le);Claye Souilly;2001/2006;2000;Création d'une salle polyvalente, d'espaces de sport et de détente + espaces professeurs;2.39;3.4;DDE 77 puis Aménagement 77;Martine Crettez / BETM;2004-10-27;ASA / Delcloy / IDFC / Hugon sports/Defillon;Lots séparés;9;2008-01-06;Opération livrée;2009;48.937972177,2.677001904
0771658J;2.965751988000022;49.02049041600003;Gué-à-Tresmes (du);Congis s/Therouanne;2001/2006;2001;Reconstruction des logements et mise en conformité de la station d'épuration;6.7;9.67;Essonne aménagement;Architecture et développement / archimède;2004-08-17;Viapark / La seconde / Bel Habitat / Lucas / Coutelin;Lots séparés;3;2006-05-09;Opération livrée;2011;49.020490416,2.965751988
0772294A;2.639627036000036;48.83890709100007;Emilie Brontë;Lognes;2001/2006;1997;Déconstruction;12.2;23.49;Epamarne;MTC / Kalycyan / Djalili / Tisseyre;2004-03-23;DGC;Ent générale;;2009-04-12;Opération livrée;2010;48.838907091,2.639627036
0772294A;2.639627036000036;48.83890709100007;Emilie-Brontë;Lognes;2012/2022;2011;Construction d'un lycée neuf (avec extension de capacité de 200 places);40.0;40.0;SAERP;Barbara DUMONT (BW Architecture);2015-07-30;;;;;En Chantier;;48.838907091,2.639627036
0771880A;2.913896062000049;48.954465791000075;Charles-Baudelaire;Meaux;2001/2006;2003;Restructuration du service de restauration et création de lieux de vie;7.9;7.94;CITALLIOS (ex-SEM 92);Rousselot / Gruet ingénierie;2006-10-07;Altempo / Demoineaux SAS / EDMC / Socape;Lots séparés;11;2008-06-20;Opération livrée;2010;48.954465791,2.913896062
0781845G;2.095222533000026;48.99861971400003;Jules-Ferry;Conflans Ste Honorine;2001/2006;2001;Travaux de gros entretien;0.99;2.58;Icade Promotion;Etienne Dufay;2003-09-29;SARL thermosani / Barbier;Lots séparés;2;2006-06-16;Opération livrée;2008;48.998619714,2.095222533
0781845G;2.095222533000026;48.99861971400003;Jules-Ferry;Conflans Ste Honorine;2001/2006;1999;Aménagement des salles de permanence et cafétéria - réaménagement du pôle vie scolaire;1.45;2.15;Icade Promotion;Bruno Rollet / Beaulieu ingénierie;2001-05-23;Quillery;Ent générale;;2004-09-17;Opération livrée;2005;48.998619714,2.095222533
0783214V;2.118802423000034;48.841225404000056;Lucien-René-Duchesne;La Celle St Cloud;2001/2006;1998;Reconstruction;19.05;24.22;CITALLIOS (ex-SARRY 78);Arene Edeikins / Betom Ingénierie;2000-06-27;Campenon Bernard / Semap / Sertba / Forclum;Lots séparés;8;2003-09-07;Opération livrée;2007;48.841225404,2.118802423
0783259U;1.941871641000034;48.75278018100005;ERPD;La Verrière;2001/2006;1998;Rénovation;14.48;20.18;CITALLIOS (ex-SARRY 78);Sas Philippe Madec / Arcobia;1999-12-23;Colas;Ent générale;;2004-08-03;Opération livrée;2007;48.752780181,1.941871641
0782602E;2.133796896000035;48.82617474500006;Jean-Moulin;Le Chesnay;2001/2006;2009;Restructuration partielle;5.5;6.27;CITALLIOS (ex-SEM 92);Bathellier / Scoping / BET TE;2012-01-10;MEI MORAND / DUBOIS;;;2015-11-20;En Chantier;;48.826174745,2.133796896
0782563M;2.137439326000049;48.801064387000054;La-Bruyère;Versailles;2001/2006;1998;Rénovation et construction d'un internat de 80 places;12.19;16.23;SAERP;Yann Brunel;2000-02-29;Quillery / DGSI / Alma / Wattelet;Lots séparés;4;2002-04-11;Opération livrée;2006;48.801064387,2.137439326
0910622G;2.150636199000076;48.43572229100005;Geoffroy-St-Hilaire;Etampes;2012/2022;2013;Construction d'un internat de 100 places;9.0;1.58;Essonne aménagement;Laurence ALLegret/studio ITA/TPFI;;;;;2017-01-08;Sélection entreprise;;48.435722291,2.150636199
0921156G;2.303970387000049;48.92121797600004;Galilée;Gennevilliers;2001/2006;2009;Construction d'un internat de 125 places;11.7;11.7;Sequano aménagement;Jean-Pierre Lott;2013-07-06;Eliez (lot 2)/CERP / Sesar / Bentin / Eurovia;Lots séparés;5;2015-05-22;Opération livrée;2016;48.921217976,2.303970387
0920170K;2.303622821000033;48.78147971200008;Florian;Sceaux;2001/2006;2000;Restructuration - extension;12.35;23.0;SAERP;Valérie Vaudou / Laurence Allegret / Betom;2006-12-15;Pitel / Renard / Cide Elec / Eliez…;Lots séparés;8;2010-07-05;Opération livrée;2013;48.781479712,2.303622821
0932119Y;2.43072115700005;48.874883890000035;Eugène-Hénaff;Bagnolet;2001/2006;1998;Rénovation - extension;22.25;31.94;AFTRP;Lehoux / Phily / Acte Ile-de-France;2000-09-08;Pitel / Gaj / Treuil / Axima / Otis;Lots séparés;5;2003-03-11;Opération livrée;;48.87488389,2.430721157
0931613Y;2.441545400000052;48.90232898000005;Louise Michel;Bobigny;2012/2022;2014;Rénovation simple;6.0;1.108;SAERP;Laurence ALLEGRET (Vaudou Allégret) architecte / Cyril BRETON (Studio ITA) / EVP Ingénierie / CAP INGELEC;2016-06-04;;;;;Etude de maîtrise d'œuvre;;48.90232898,2.4415454
0931735F;2.299037674000033;48.961402623000026;Louise-Michel;Epinay sur Seine;2001/2006;2006;Restructuration d'ensemble - extension;19.85;21.604;Essonne aménagement;Valero / Gadan;;Urbaine de travaux / Colas / Otis…;Lots séparés;6;2011-11-01;Opération livrée;2014;48.961402623,2.299037674
0932577W;2.419802820000029;48.93475311100008;Germaine Tillion;Le Bourget;2001/2006;2006;Construction (665 places);26.57;28.51;SAERP;Hubert & Roy;;GCC / TEPC / Soreco;Lots séparés;4;2012-02-13;Opération livrée;2014;48.934753111,2.41980282
0931739K;2.496330157000045;48.863495639000064;Jean-Moulin;Rosny;2001/2006;2002;Reconstruction sur un autre site;26.31;26.76;Sodedat 93;Dusapin / Leclerc / OTH;2005-06-04;Bouygues;Ent générale;;2007-05-07;Opération livrée;2009;48.863495639,2.496330157
0940113M;2.49747923700005;48.81643825100008;Langevin-Wallon;Champigny sur Marne;2001/2006;2006;Restructuration du service de restauration;6.7;7.02;CITALLIOS (ex-SEM 92);Christine Rousselot / Gruet ingénierie;;Ardeco / Otis / Go services;;;;Opération livrée;2012;48.816438251,2.497479237
0942269F;2.340110695000021;48.77285634100008;Pauline-Roland;Chevilly Larue;2001/2006;2005;Construction (800 places);29.1;29.69;SAERP;Daquin-Ferriere / 3A IDF / Projetud / EPDC;2006-08-30;Sicra-Demathieu & Bard;Ent générale;;2009-01-19;Opération livrée;2011;48.772856341,2.340110695
0940114N;2.462642963000064;48.78284663900007;Saint-Exupéry;Créteil;2012/2022;2013;Rénovation simple;6.0;4.37;Essonne aménagement;;;;;;;En Chantier;;48.782846639,2.462642963
0940138P;2.403251656000066;48.74918824500003;Armand-Guillaumin;Orly;2001/2006;1999;Réhabilitation et gros entretien;8.77;8.77;;Jacqueline Jean-Jean;;Brezillon;METP;;1999-04-15;Opération livrée;;48.749188245,2.403251656
0951811C;2.226499432000026;48.951364014000035;Fernand-et-Nadia-Léger;Argenteuil;2001/2006;2010;Restructuration partielle;16.38;17.897;SAERP;Christelle BESSEYRE (TOA Architecte);2014-07-22;Hervé/SOGEFI/CESA/SESAR/DUBOIS;Lots séparés;5;2016-04-11;En Chantier;;48.951364014,2.226499432
0952173W;2.215409071000067;48.921607864000066;Eugène-Ronceray;Bezons;2012/2022;2014;Rénovation globale;54.45;9.58;SAERP;Guillaume COLBOC (Ateliers O-S Architectes);;;;;;Etude de maîtrise d'œuvre;;48.921607864,2.215409071
0950645K;2.25452652000007;48.98497097900008;Van-Gogh;Ermont;2012/2022;2014;Opération ciblée : restructuration du service de restauration;9.18;1.61;Icade Promotion;Laurence CARMINATI Architecte;;;;;;Etude de maîtrise d'œuvre;;48.984970979,2.25452652
0951147F;2.224410548000037;49.116222667000045;Fragonard;L'Isle Adam;2012/2022;2013;Rénovation thermique;7.9;7.9;SAERP;Au sein du groupe;;Veolia;;;;Sélection entreprise;;49.116222667,2.224410548
0750652B;2.360482587000035;48.85423825200007;Charlemagne;Paris 04ème;2001/2006;2010;Restauration de la bibliothèque - SUSPENDU;3.11;0.55;SAERP;Agence Gatier;2012-01-30;;;;;Suspendue;;48.854238252,2.360482587
0750558Z;2.375017810000031;48.85455877800007;Paul-Poiret;Paris 11ème;2001/2006;1997;Rénovation restructuration;1.98;3.36;SEMAEST;De Certeau;;Gebatim;Ent générale;;1999-01-18;Opération livrée;1999;48.854558778,2.37501781
0754476H;2.330870501000049;48.83871522800007;Guillaume-Tirel;Paris 14ème;2001/2006;1998;Reconstruction sur l'ancien site du lycée Raspail;15.54;28.94;RIVP;Brenac / Gonzales / Pigeon / Projetud;1999-03-19;Bouygues;Ent générale;;2004-12-01;Opération livrée;2006;48.838715228,2.330870501
0750796H;2.272447646000046;48.86126927400005;Octave-Feuillet;Paris 16ème;2001/2006;2000;Restructuration du service de restauration;1.37;1.87;SEMAEST;Lescot / Sincoba;2001-10-05;DBS/IDFC;Lots séparés;2;2002-10-06;Opération livrée;2005;48.861269274,2.272447646
0750714U;2.406954392000046;48.847818808000056;Hélène-Boucher;Paris 20ème;2001/2006;2001;Restructuration de locaux scolaires;1.04;1.04;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;2001;48.847818808,2.406954392
0771436T;2.644851944000038;48.672137013000054;Bougainville;Brie Comte Robert;2001/2006;2000;Restructuration d'ensemble - extension;29.87;53.96;SAERP;Arene Edeikins / GEC;2004-03-08;Bouygues / Sacer;Ent générale;;2008-07-03;Opération livrée;2011;48.672137013,2.644851944
0770342D;3.145269903000042;48.980221130000075;Léopold-Bellan;Chamigny;2001/2006;2000;Restructuration du service de restauration - SUSPENDU;2.9;2.9;DDE 77 - transfert de mandat en cours à la SAERP;Rerat / Duret / Bleuse / Ferro / Buchet / Mosaic;2004-03-16;;;;;Suspendue;;48.98022113,3.145269903
0772276F;2.612639891000072;48.88858424700004;Jehan-de-Chelles;Chelles;2001/2006;1998;Extension (seconde tranche);8.53;12.4;DDE 77;Soisick Cleret / Eurotec;2001-10-08;Hanny / HTTP est / ASA / Berger / Bornhauser..;Lots séparés;14;2004-01-27;Opération livrée;2005;48.888584247,2.612639891
0770926N;2.687449209000022;48.398379617000046;François Couperin;Fontainebleau;2017/2027;2017;Extension capacité (500 places) et rénovation demi-pension;13.7;2.46;SAERP;;;;;;;Sélection maîtrise d'œuvre;;48.398379617,2.687449209
0771512A;2.720147606000069;48.86795415600005;Van-Dongen;Lagny-sur-Marne;2001/2006;2002;Restructuration du service de restauration et reconstruction des logements de fonction;8.58;10.25;Aménagement 77;Bauve / Racine / CBK hôtellerie / Abac;2005-04-03;Verdoia / Brunel / Colas / Plimard / Davesne / Ecobat;Lots séparés;12;2009-10-30;Opération livrée;2011;48.867954156,2.720147606
0772244W;2.578858766000053;48.594470072000036;Antonin-Carême;Savigny-le-Temple;2001/2006;2007;Construction d'un internat de 100 places;7.67;7.67;Icade Promotion;SAO architectes - Augustin Rosenstiehl;;;Lots séparés;9;;Opération livrée;2013;48.594470072,2.578858766
0770944H;2.728507204000039;48.88851901500004;Auguste-Perdonnet;Thorigny-sur-Marne;2001/2006;2008;Restructuration partielle;3.7;3.7;SAERP;Olivier de Certeau / MTC;2010-02-22;VITTE/CANAT/INEO;Lots séparés;4;;Opération livrée;2014;48.888519015,2.728507204
0772120L;2.657643391000022;48.836079409000035;Jean-Moulin;Torcy;2012/2022;2015;Restructuration globale;31.98;5.62;SAERP;Guillaume RELIER (R Architecture);;;;;;Etude de maîtrise d'œuvre;;48.836079409,2.657643391
0781859X;1.854927967000037;48.95314286100006;Vincent-Van-Gogh;Aubergenville;2012/2022;2013;Opération ciblée : restructuration de la demi-pension;6.75;5.39;Icade Promotion;Guillaume COLBOC (ATELIERS O-S ARCHITECTES);;;;;;Etude de maîtrise d'œuvre;;48.953142861,1.854927967
0781578S;2.050377670000046;48.78485582300004;Hôtellerie-Tourisme;Guyancourt;2001/2006;2001;Rénovation d'ensemble;40.5;62.33;CITALLIOS (ex-SARRY 78);Anne Demians / Betom Ingénierie;2006-04-01;Bouygues / Colas / Elale / Le Clorec;Lots séparés;2;2010-09-13;Opération livrée;2016;48.784855823,2.05037767
0781984H;1.92143373600004;48.97964006800004;Vaucanson;Les Mureaux;2001/2006;2008;Restructuration partielle;8.9;9.7;H4 puis SODEREC dès 2015 puis SAERP en 2016;Adrien Robain / LGX ingénierie;;;;;;Sélection entreprise;;48.979640068,1.921433736
0781948U;1.775086602000044;48.97363300600006;Lavoisier;Porcheville;2001/2006;1999;Aménagement d'une aire d'évolution, d'un parking - réfection partielle des bâtiments administration et ateliers;1.89;3.9909;CITALLIOS (ex-SARRY 78);;2003-10-25;BLI BTP / Bati Ouest / Watelet;Lots séparés;2;2006-07-13;Opération livrée;2007;48.973633006,1.775086602
0782567S;2.14177350600005;48.79863567400008;Marie-Curie;Versailles;2001/2006;2009;Restructuration du service de restauration;7.0;6.99;Essonne aménagement;Bernard Ropa / Betom / Capterre;2013-02-27;SBM/Eiffage énergie/ Gallier / Thyssen Krupp / Le Cloarec;Lots séparés;5;2015-05-22;Opération livrée;2016;48.798635674,2.141773506
0911021R;2.503386970000065;48.69302569900003;Talma;Brunoy;2012/2022;2013;Rénovation thermique;6.5;6.5;SAERP;Reichen & Robert associés;;Hervé SA;;;;En Chantier;;48.693025699,2.50338697
0911401D;2.138666405000038;48.43465804400006;Nelson-Mandela;Etampes;2001/2006;2006;Reconstruction;31.57;31.57;Essonne aménagement;Philippe Gazeau / Projetud;;Gagnereau / UTB / Froid 77;Lots séparés;5;2012-02-12;Opération livrée;2014;48.434658044,2.138666405
0920131T;2.281982809000056;48.92235085400006;Auguste-Renoir;Asnières;2001/2006;1999;Création de lieux de vie et réfection des façades;3.96;7.13;AFTRP;Seurin / Seet Cecoba Rocher;2001-11-14;Quillery;Ent générale;;2004-03-12;Opération livrée;2006;48.922350854,2.281982809
0921592F;2.220569271000045;48.79448056000007;Côtes-de-Villebon (les);Meudon;2001/2006;1998;Réfection partielle et mise aux normes de sécurité;;3.86;DDE 92;Nathalie Lacagne / Sincoba;2004-05-25;Sisap / MPO / Elec / BECI…;Lots séparés;6;2006-11-12;Opération livrée;2007;48.79448056,2.220569271
0920145H;2.306685323000068;48.77746183700003;Lakanal;Sceaux;2001/2006;2009;Restauration du clos et couvert de la cité scolaire;19.0;22.57;SAERP;Michel Goutal;2011-02-17;Tubesca Comabi / Lanfry / Balas / Sessler / Coquard/SARL LES METIERS DU BOIS / Georges Lanfry;Lots séparés;;2015-12-06;Opération livrée;2017;48.777461837,2.306685323
0931585T;2.520024263000039;48.91296702000005;André-Boulloche;Livry Gargan;2001/2006;2008;Restructuration du service de restauration;6.58;6.636;SEMAEST;Mahmoud Keldi / Ceris Etudes / Cosyrest;2012-06-06;;;;2016-01-04;En Chantier;;48.91296702,2.520024263
0941474S;2.350712237000039;48.802280954000025;Darius-Milhaud;Le Kremlin Bicêtre;2001/2006;2010;Restructuration globale - extension;44.64;44.26;SAERP;Isabelle BIRO;2014-04-28;;;;;En Chantier;;48.802280954,2.350712237
0940742W;2.510720424000056;48.74374076600003;Guillaume-Budé;Limeil Brevannes;2001/2006;1999;Rénovation;9.14;11.34;SAERP;Berthelier / Fichet / Tribouillet / Best;1999-12-28;TPSP / Segecob / Duval / Garnier / Vallée…;Lots séparés;8;2002-04-11;Opération livrée;2005;48.743740766,2.510720424
0950640E;2.233313200000055;48.952180267000074;Julie-Victoire-Daubié;Argenteuil;2001/2006;2002;Reconstruction sur un autre site;31.51;31.51;SEMAEST;De la Noue - Porro / Betom / CAP Terre;2005-04-04;Dumez;Ent générale;;2008-01-25;Opération livrée;2010;48.952180267,2.2333132
0951281B;2.321294117000036;48.98526476400008;Turgot;Montmorency;2001/2006;1998;Rénovation, restructuration, extension ponctuelle;11.12;32.492;SAERP mandat avec DDE 95 résilié;XTU (Legendre/Desmazières) / GEC SA;2003-03-07;Omni Decors/UTB/Grande Cuisine/STEPC;Lots séparés;7;2009-01-19;Opération livrée;2014;48.985264764,2.321294117
0750657G;2.336144429000058;48.84418487200003;Montaigne;Paris 6ème;2001/2006;;Réhabilitation (3ème tranche);6.22;6.22;RIVP;Casanova;;SGCE;;;;En Chantier;;48.844184872,2.336144429
0750789A;;;Les-Camélias;Paris 14ème;2001/2006;2002;Restructuration en internat de 40 places - ABANDONNE en 2016;6.87;6.87;SAERP;Coulon-Jost - IGB - E3;2006-01-03;;;;;Abandonné;;
0751708Z;2.285540293000054;48.83728478200004;Louis-Armand;Paris 15ème;2001/2006;2003;Restructuration liée au désamiantage et déplacement sur Villon et rénovation du gymnase su lycée François Villon;25.26;34.547;SAERP;Agence Dolle-Labbe;;"Léon Grosse (GO)
Sarmates (menuiseries bardages)
Fauré environnement (CVC)";;;;En Chantier;;48.837284782,2.285540293
0750699C;2.279442298000049;48.86555024300003;Janson-de-Sailly;Paris 16ème;2012/2022;2013;Opération ciblée : restructuration pôle sciences;11.0;11.0;Icade Promotion;Alain ROMBAUT;;"Patrimoine et Rénovation
Peintures parisiennes
Ridoret menuiseries
ETI
Ducré
Schindler
Pinault Gapaix (déplombage)
Posseme";;;;En Chantier;;48.865550243,2.279442298
0750798K;;;Fortuny (Lycée fermé);Paris 17ème;2001/2006;1998;Rénovation des extérieurs;1.22;1.44;SAERP;Dufay / Ingénierie Studio;2002-03-21;SRC;Ent générale;;2004-08-03;Opération livrée;2004;
0771027Y;2.64864968400002;48.518216831000075;Joliot-Curie;Dammarie-les-Lys;2001/2006;1998;Rénovation des ateliers;4.96;6.99;DDE 77;Phileas/EEG Simecsol;2000-10-01;Levaux;Ent générale;;2003-12-22;Opération livrée;2006;48.518216831,2.648649684
0781839A;1.782159720000038;48.802284419000046;Jean-Monnet;La Queue lez Yvelines;2012/2022;2014;Opération ciblée : restructuration service restauration;6.34;6.519;Essonne aménagement;Julien BOIDOT (BOIDOT & ROBIN ARCHITECTES)/IN4 Ingénieurs / ESPACE TEMPS /CL INFRA/BmfARWYTEC;;;;;2017-01-12;Etude de maîtrise d'œuvre;;48.802284419,1.78215972
0782556E;2.064783792000071;48.892219107000074;Léonard-de-Vinci;Saint Germain en Laye;2001/2006;2007;Reconstruction du lycée sur son site;46.95;52.85;SAERP;COLBOC-FRANZEN Architecture/Tank architecte;2010-02-04;COLAS / BAUDIN CHATEAUNEUF/ DAVID/SPIE/…;Lots séparés;7;2015-06-16;En Chantier;;48.892219107,2.064783792
0782565P;2.121153940000056;48.79453556100003;Jules-Ferry;Versailles;2001/2006;2011;Construction d'un internat de 90 places (opération internats abandonnée) et restructuration des ateliers - SUSPENDU;17.84;3.14;SAERP;Fabienne GERIN-JEAN / ATEC / ALMA CONSULTING;;;;;;Suspendue;;48.794535561,2.12115394
0911021R;2.503386970000065;48.69302569900003;Talma;Brunoy;2012/2022;2013;Opération ciblée : restructuration de la demi-pension et des lieux de vie;11.38;10.54;SAERP;Marjolijn BOUDRY (Marjolijn et Pierre BOUDRY) / AIC Ingénierie / CHOLLEY /  ALMA CONSULTING;2015-09-02;;;;;Etude de maîtrise d'œuvre;;48.693025699,2.50338697
0910630R;2.33393135700004;48.482819051000035;Alexandre-Denis;Cerny;2001/2006;2001;Restructuration du service de restauration et amélioration des lieux de vie et des vestiaires sanitaires ateliers;3.9;4.78;Essonne aménagement;Boudry / Acte Ile de France / EPDC / Benigaud;2005-01-19;Dubocq;Ent générale;;2007-03-26;Opération livrée;2008;48.482819051,2.333931357
0911913K;2.097241507000035;48.700305521000075;Vallée-de-Chevreuse;Gif sur Yvette;2001/2006;2006;Reconstruction du service de restauration et restructuration partielle des locaux;11.92;11.92;Essonne aménagement;Rihn / Dufournet / Domingo / Choulet / Micout;;Pitel / Sam / Sogefi;Lots séparés;;2011-07-10;Opération livrée;2013;48.700305521,2.097241507
0911492C;2.165037667000036;48.67608278400007;Essouriau (l');Les Ulis;2012/2022;2014;Rénovation thermique;5.5;9.52;SAERP;en cours;;;;;;Sélection maîtrise d'œuvre;;48.676082784,2.165037667
